LON,LAT,Genus
49.37472222,-12.25888889,Isobium
44.44055556,-19.02138889,Isobium
44.86055,-22.67433333,Isobium
47.62222222,-15.45194444,Isobium
44.03694444,-17.97555556,Isobium
46.53616667,-24.83083333,Kuleczka
44.82805556,-19.14194444,Kuleczka
44.71805556,-19.70944444,Kuleczka
47.17566667,-20.79266667,Cyamosa
47.05,-19.86666667,Cyamosa
47.086,-20.17333333,Cyamosa
46.9,-22.16666667,Cyamosa
47.16666667,-18.16666667,Cyamosa
47.16666667,-18.26666667,Cyamosa
47.2815,-18.198,Nasatus
47.35361111,-18.22527778,Nasatus
47.07806667,-17.88115,Nasatus
48.501,-17.63055,Nasatus
48.21666667,-19.06666667,Nasatus
48.2,-18.93333333,Nasatus
46.35,-15.66666667,Coniunctivena
44.12138889,-23.52416667,Coniunctivena
44.61667,-18.66667,Coniunctivena
46.70194,-24.60222,Coniunctivena
45.35,-16.46666667,Panormenis
47.2815,-18.198,Panormenis
46.558,-20.58933333,Panormenis
47.17566667,-20.79266667,Panormenis
