longitude,latitude,genus
6.84944,44.2772,Abraxas
7.57083,44.15083,Abromias
7.565,44.14244,Abromias
7.55756,43.98286,Abromias
7.34797,44.03444,Abromias
6.89825,44.31786,Abromias
7.57083,44.15083,Abrostola
7.565,44.14244,Abrostola
7.39778,44.2836,Abrostola
7.39758,44.28448,Abrostola
7.39742,44.28416,Abrostola
7.54913,43.9857,Acalyptris
7.466653,43.87905,Acalyptris
7.547591,43.98562,Acalyptris
7.5675,44.0558,Acasis
7.56056,43.9825,Acherontia
7.26919,44.16927,Acleris
7.56056,43.9825,Acleris
7.39778,44.2836,Acleris
7.3956,44.2825,Acleris
7.4303,44.2144,Acleris
7.3742,44.1828,Acleris
7.3903,44.1853,Acleris
7.272,44.207,Acleris
7.4931,44.195,Acleris
7.48972,44.195,Acleris
7.39778,44.2836,Acompsia
6.81,44.3067,Acompsia
6.74333,44.2833,Acompsia
7.3956,44.2825,Acompsia
7.2469,44.2475,Acompsia
7.272,44.207,Acompsia
7.2667,44.1803,Acompsia
7.425,44.2128,Acompsia
7.3742,44.1828,Acompsia
7.3228,44.1856,Acompsia
7.3722,44.6519,Acompsia
7.4303,44.2144,Acompsia
7.4428,44.2161,Acompsia
7.4828,44.2003,Acompsia
7.4931,44.195,Acompsia
7.4792,44.1892,Acompsia
7.2722,44.1628,Acompsia
7.3903,44.1853,Acompsia
7.578444,44.15225,Acompsia
7.521389,44.10222,Acompsia
7.45,44.28333,Acompsia
7.383333,44.24972,Acompsia
7.512778,44.06944,Acompsia
7.321389,44.24306,Acompsia
7.3956,44.2825,Acrobasis
7.56,43.98222,Acrobasis
7.39778,44.2836,Acrobasis
7.5675,44.0558,Acrobasis
7.56056,43.9825,Acrocercops
7.546604,43.98192,Acrocercops
7.561866,44.01388,Acrolepia
7.56292,43.98135,Acronicta
7.42611,44.22015,Acronicta
7.57083,44.15083,Acronicta
7.55756,43.98286,Acronicta
7.56056,43.9825,Acronicta
7.36111,44.1919,Acronicta
7.39778,44.2836,Acronicta
6.84944,44.2772,Acronicta
6.74333,44.2833,Acronicta
7.50994,43.99916,Acronicta
7.52327,44.0944,Acronicta
7.5675,44.0558,Acronicta
7.27139,44.1958,Acronicta
7.351944,44.25361,Actenia
7.3956,44.2825,Actenia
7.2349,44.1542,Actenia
7.383333,44.24972,Actenia
7.43884,44.20383,Actinotia
7.396222,44.28182,Actinotia
7.42611,44.22015,Actinotia
7.34797,44.03444,Actinotia
7.39778,44.2836,Actinotia
7.3742,44.1828,Adaina
7.56,43.98222,Adaina
7.2708,44.2497,Adela
7.3742,44.1828,Adela
7.4303,44.2144,Adela
7.4428,44.2161,Adela
7.4575,44.2114,Adela
7.2667,44.1803,Adela
7.3956,44.2825,Adela
7.272,44.207,Adela
7.3228,44.1856,Adela
7.3722,44.6519,Adela
7.375,44.1481,Adela
7.4514,44.1847,Adela
7.4828,44.2003,Adela
7.4953,44.1753,Adela
7.527472,44.10994,Adscita
7.550528,44.1455,Adscita
7.45,44.28333,Aetheria
7.4022,44.2794,Aethes
7.4428,44.2161,Aethes
7.4828,44.2003,Aethes
7.4953,44.1753,Aethes
7.2349,44.1542,Aethes
7.2333,44.1986,Aethes
7.2122,44.1933,Aethes
7.3228,44.1856,Aethes
7.4575,44.2114,Aethes
7.4536,44.1758,Aethes
7.4303,44.2144,Aethes
7.2667,44.1803,Aethes
7.3167,44.1772,Aethes
7.375,44.1481,Aethes
7.4792,44.1892,Aethes
7.39778,44.2836,Aethes
7.52327,44.0944,Aethes
7.527472,44.10994,Aethes
7.541056,44.14528,Aethes
7.39742,44.28416,Aethes
7.3228,44.1856,Agapeta
7.3167,44.1772,Agapeta
7.375,44.1481,Agapeta
7.4303,44.2144,Agapeta
7.4428,44.2161,Agapeta
7.4953,44.1753,Agapeta
7.3742,44.1828,Agapeta
7.56,43.98222,Agapeta
7.39742,44.28416,Agapeta
7.321389,44.24306,Agapeta
7.56056,43.9825,Agapeta
7.347778,44.25278,Agdistis
7.42611,44.22015,Agdistis
7.3956,44.2825,Agdistis
7.3742,44.1828,Agdistis
7.4428,44.2161,Agdistis
7.274806,44.16203,Aglais
7.339631,44.1731,Aglais
7.342228,44.18203,Aglais
7.34472,44.1817,Aglais
7.242799,44.20267,Aglais
7.2482,44.20334,Aglais
7.221672,44.18947,Aglais
