48.46972222,20.77416667,Gymnetron,villosulum,Gyllenhal
48.6775,20.695,Rhynchaenus,pratensis,(Germar)
48.70555556,20.76777778,Acalyptus,carpini,(Fabricius)
48.46972222,20.77416667,Acalyptus,carpini,(Fabricius)
48.75333333,20.63472222,Trachodes,hispidus,(Linn»)
48.63833333,20.67361111,Trachodes,hispidus,(Linn»)
48.46972222,20.77416667,Trachodes,hispidus,(Linn»)
48.58138889,20.74416667,Trachodes,hispidus,(Linn»)
48.7725,20.725,Trachodes,hispidus,(Linn»)
48.74861111,20.73361111,Trachodes,hispidus,(Linn»)
48.6775,20.695,Aderus,pruinosus,(Kiesenwetter)
48.6775,20.695,Aderus,pruinosus,(Kiesenwetter)
48.57305556,20.85166667,Agyrtes,bicolor,Laporte de Castelnau
48.74861111,20.73361111,Sphaerosoma,globosum,(Sturm)
48.70305556,20.60527778,Caenocara,bovistae,(Hoffmannn)
48.67277778,20.69583333,Caenocara,bovistae,(Hoffmannn)
48.82472222,21.02388889,Dignomus,nitidus,(Duftschmid)
48.57166667,20.7175,Dignomus,nitidus,(Duftschmid)
48.70305556,20.60527778,Dryophilus,pusillus,(Gyllenhal)
48.70305556,20.60527778,Episernus,granulatus,Weise
48.70305556,20.60527778,Ernobius,abietinus,(Gyllenhal)
48.76388889,20.68166667,Ernobius,abietis,(Fabricius)
48.7725,20.725,Ernobius,abietis,(Fabricius)
48.53361111,20.62416667,Ernobius,abietis,(Fabricius)
48.70305556,20.60527778,Ernobius,mollis,(Linnaeus)
48.57722222,20.67833333,Gastrallus,immarginatus,(P.W.J. M∏ller)
48.59722222,20.60083333,Hemicoelus,fulvicornis,(Sturm)
48.55583333,20.97972222,Hemicoelus,fulvicornis,(Sturm)
48.57444444,20.8175,Hemicoelus,fulvicornis,(Sturm)
48.57722222,20.67833333,Hemicoelus,fulvicornis,(Sturm)
48.63833333,20.67361111,Hemicoelus,fulvicornis,(Sturm)
48.70305556,20.60527778,Hemicoelus,fulvicornis,(Sturm)
48.48361111,20.88888889,Hemicoelus,fulvicornis,(Sturm)
48.7725,20.725,Hemicoelus,fulvicornis,(Sturm)
48.74861111,20.73361111,Hemicoelus,fulvicornis,(Sturm)
48.54138889,20.58638889,Hemicoelus,fulvicornis,(Sturm)
48.64305556,20.70888889,Hemicoelus,fulvicornis,(Sturm)
48.70305556,20.60527778,Lasioderma,obscurum,(Solsky)
48.64472222,20.77138889,Lasioderma,obscurum,(Solsky)
48.57722222,20.67833333,Oligomerus,brunneus,(Olivier)
48.53361111,20.62416667,Ptilinus,pectinicornis,(Linnaeus)
48.63833333,20.67361111,Ptinomorphus,imperialis,(Linnaeus)
48.77777778,20.75666667,Ptinomorphus,regalis,(Duftschmid)
48.62611111,20.77222222,Ptinus,calcaratus,Kiesenwetter
48.53361111,20.62416667,Ptinus,calcaratus,Kiesenwetter
48.75333333,20.63472222,Ptinus,coarcticollis,Sturm
48.53361111,20.62416667,Ptinus,coarcticollis,Sturm
48.73666667,20.71888889,Ptinus,fur,(Linnaeus)
48.53361111,20.62416667,Ptinus,fur,(Linnaeus)
48.64888889,20.69722222,Ptinus,rufipes,(Olivier)
48.63833333,20.67361111,Ptinus,rufipes,(Olivier)
48.70305556,20.60527778,Ptinus,rufipes,(Olivier)
48.46972222,20.77416667,Ptinus,rufipes,(Olivier)
48.67222222,20.81055556,Ptinus,rufipes,(Olivier)
48.71805556,20.85888889,Ptinus,rufipes,(Olivier)
48.53361111,20.62416667,Ptinus,subpillosus,Sturm
48.74861111,20.73361111,Xestobium,plumbeum,(Illiger)
48.55583333,20.97972222,Xestobium,rufovillosum,(De Geer)
48.62611111,20.77222222,Xestobium,rufovillosum,(De Geer)
48.75333333,20.63472222,Xyletinus,distinguendus,Kofler
48.63833333,20.67361111,Xyletinus,distinguendus,Kofler
48.70305556,20.60527778,Xyletinus,distinguendus,Kofler
48.66111111,20.75222222,Xyletinus,distinguendus,Kofler
48.74861111,20.73361111,Xyletinus,distinguendus,Kofler
48.74861111,20.73361111,Xyletinus,longitarsis,Jansson
48.75333333,20.63472222,Anoplus,roboris,Suffirian
48.74861111,20.73361111,Anoplus,roboris,Suffirian
48.75333333,20.63472222,Anthicus,antherinus,(Linnaeus)
48.6775,20.695,Anthicus,antherinus,(Linnaeus)
48.6775,20.695,Anthicus,antherinus,(Linnaeus)
48.55388889,20.63611111,Anthicus,antherinus,(Linnaeus)
48.55388889,20.63611111,Anthicus,antherinus,(Linnaeus)
48.75333333,20.63472222,Anthicus,antherinus,(Linnaeus)
48.54083333,20.60416667,Anthicus,antherinus,(Linnaeus)
48.54083333,20.60416667,Anthicus,antherinus,(Linnaeus)
48.57444444,20.68916667,Anthicus,antherinus,(Linnaeus)
48.57444444,20.68916667,Anthicus,antherinus,(Linnaeus)
48.59361111,20.96444444,Anthicus,antherinus,(Linnaeus)
48.59361111,20.96444444,Anthicus,antherinus,(Linnaeus)
48.70305556,20.60527778,Anthicus,antherinus,(Linnaeus)
48.70305556,20.60527778,Anthicus,antherinus,(Linnaeus)
48.71666667,20.58944444,Anthicus,antherinus,(Linnaeus)
48.71666667,20.58944444,Anthicus,antherinus,(Linnaeus)
48.82472222,21.02388889,Anthicus,antherinus,(Linnaeus)
48.82472222,21.02388889,Anthicus,antherinus,(Linnaeus)
48.53361111,20.62416667,Anthicus,antherinus,(Linnaeus)
48.53361111,20.62416667,Anthicus,antherinus,(Linnaeus)
48.57166667,20.7175,Anthicus,antherinus,(Linnaeus)
48.57166667,20.7175,Anthicus,antherinus,(Linnaeus)
