48.46973,20.51068,Odonata,Anaciaeschna,isosceles isosceles
48.46973,20.51068,Odonata,Libellula,depressa
48.46973,20.51068,Odonata,Ischnura,elegans pontica
48.46973,20.51068,Odonata,Orthetrum,cancellatum cancellatum
48.46973,20.51068,Odonata,Sympetrum,meridionale
48.46973,20.51068,Odonata,Anax,parthenope parthenope
48.46973,20.51068,Odonata,Anax,imperator imperator
48.46973,20.51068,Odonata,Lestes,barbarus
48.46973,20.51068,Odonata,Sympecma,fusca
48.46973,20.51068,Odonata,Coenagrion,puella puella
48.46973,20.51068,Odonata,Sympetrum,sanguineum sanguineum
48.46973,20.51068,Odonata,Enallagma,cyathigerum cyathigerum
48.46973,20.51068,Odonata,Erythromma,viridulum viridulum
48.46973,20.51068,Odonata,Sympetrum,vulgatum vulgatum
48.46708,20.49808,Odonata,Aeshna,affinis
48.46708,20.49808,Odonata,Erythromma,najas najas
48.46708,20.49808,Odonata,Orthetrum,cancellatum cancellatum
48.46708,20.49808,Odonata,Crocothemis,servilia servilia
48.46708,20.49808,Odonata,Aeshna,mixta
48.46708,20.49808,Odonata,Sympetrum,meridionale
48.46708,20.49808,Odonata,Erythromma,viridulum viridulum
48.46708,20.49808,Odonata,Ischnura,elegans pontica
48.46708,20.49808,Odonata,Anax,imperator imperator
48.46708,20.49808,Odonata,Sympetrum,sanguineum sanguineum
48.46708,20.49808,Odonata,Coenagrion,puella puella
48.46708,20.49808,Odonata,Libellula,depressa
48.46708,20.49808,Odonata,Lestes,barbarus
48.46708,20.49808,Odonata,Enallagma,cyathigerum cyathigerum
48.46708,20.49808,Odonata,Lestes,sponsa sponsa
48.46708,20.49808,Odonata,Sympetrum,vulgatum vulgatum
48.47313,20.54268,Odonata,Coenagrion,vernale
48.47313,20.54268,Odonata,Lestes,dryas
48.47313,20.54268,Odonata,Sympetrum,sanguineum sanguineum
48.47313,20.54268,Odonata,Coenagrion,scitulum
48.47313,20.54268,Odonata,Lestes,sponsa sponsa
48.47313,20.54268,Odonata,Aeshna,cyanea
48.47313,20.54268,Odonata,Coenagrion,pulchellum interruptum
48.47313,20.54268,Odonata,Aeshna,affinis
48.47313,20.54268,Odonata,Libellula,depressa
48.47313,20.54268,Odonata,Coenagrion,puella puella
48.47313,20.54268,Odonata,Anax,imperator imperator
48.47313,20.54268,Odonata,Sympetrum,flaveolum flaveolum
48.54870,20.78807,Odonata,Gomphus,vulgatissimus vulgatissimus
