40.78,-4.009,Onthophagus,joannae,Goljan
40.326,-1.648,Onthophagus,albarracinus,Baraud
40.326,-1.648,Onthophagus,albarracinus,Baraud
37.425,-6.572,Onthophagus,similis,Scriba
43.461,-5.412,Onthophagus,ovatus,Linnaeus
38.238,-0.659,Onthophagus,semipunctatus,Fabricius
38.326,-0.542,Onthophagus,semipunctatus,Fabricius
38.326,-0.542,Onthophagus,semipunctatus,Fabricius
38.326,-0.542,Onthophagus,semipunctatus,Fabricius
37.968,-0.668,Onthophagus,semipunctatus,Fabricius
38.238,-0.659,Onthophagus,semipunctatus,Fabricius
38.498,-0.192,Onthophagus,semipunctatus,Fabricius
38.498,-0.192,Onthophagus,semipunctatus,Fabricius
38.062,-0.893,Bubas,bison,Linnaeus
38.062,-0.893,Euoniticellus,pallipes,Fabricius
38.062,-0.893,Euoniticellus,pallipes,Fabricius
38.062,-0.893,Euothophagus,amyntas,Olivier
38.062,-0.893,Gymnopleurus,sturmi,MacLeay
38.062,-0.893,Gymnopleurus,sturmi,MacLeay
38.062,-0.893,Onitis,ion,Olivier
38.062,-0.893,Onitis,ion,Olivier
38.062,-0.893,Onthophagus,furcatus,Fabricius
38.062,-0.893,Onthophagus,taurus,Schreber
38.062,-0.893,Onthophagus,taurus,Schreber
38.062,-0.893,Onthophagus,taurus,Schreber
38.062,-0.893,Onthophagus,ruficapillus,Brulle
38.062,-0.893,Onthophagus,similis,Scriba
38.062,-0.893,Onthophagus,vacca,Linnaeus
38.062,-0.893,Onthophagus,semipunctatus,Fabricius
38.062,-0.893,Onthophagus,semipunctatus,Fabricius
38.062,-0.893,Onthophagus,semipunctatus,Fabricius
38.062,-0.893,Onthophagus,sacer,Linnaeus
38.062,-0.893,Onthophagus,sacer,Linnaeus
38.058,-0.665,Onthophagus,semipunctatus,Fabricius
38.238,-0.659,Bubas,bubalus,Olivier
38.238,-0.659,Copris,hispanus,Linnaeus
38.238,-0.659,Gymnopleurus,sturmi,MacLeay
38.238,-0.659,Gymnopleurus,sturmi,MacLeay
38.238,-0.659,Onthophagus,furcatus,Fabricius
38.238,-0.659,Onthophagus,taurus,Schreber
38.238,-0.659,Onthophagus,sacer,Linnaeus
38.238,-0.659,Onthophagus,sacer,Linnaeus
38.424,-0.997,Onthophagus,merdarius,Chevrolat
38.424,-0.997,Onthophagus,merdarius,Chevrolat
38.424,-0.997,Onthophagus,merdarius,Chevrolat
36.726,-2.161,Gymnopleurus,flagellatus,Fabricius
37.619,-1.358,Gymnopleurus,sturmi,MacLeay
37.619,-1.358,Onthophagus,sacer,Linnaeus
37.619,-1.358,Onthophagus,taurus,Schreber
37.619,-1.358,Onthophagus,semipunctatus,Fabricius
36.908,-2.496,Onthophagus,furcatus,Fabricius
36.817,-2.385,Onthophagus,cicatricosus,Lucas
36.815,-2.048,Onthophagus,laticollis,Linnaeus
37.355,-1.929,Caccobius,schreberi,Linnaeus
37.355,-1.929,Onthophagus,lemur,Fabricius
37.355,-1.929,Onthophagus,lemur,Fabricius
37.355,-1.929,Onthophagus,maki,Illiger
37.713,-1.697,Gymnopleurus,sturmi,MacLeay
37.713,-1.697,Onthophagus,sacer,Linnaeus
37.358,-2.38,Onthophagus,taurus,Schreber
37.358,-2.38,Onthophagus,fracticornis,Preyssler
37.358,-2.38,Onthophagus,marginalis,Gebler
37.358,-2.38,Onthophagus,similis,Scriba
37.358,-2.38,Onthophagus,similis,Scriba
37.358,-2.38,Onthophagus,maki,Illiger
37.358,-2.38,Euothophagus,amyntas,Olivier
37.358,-2.38,Euothophagus,gibbosus,Scriba
37.358,-2.38,Euothophagus,gibbosus,Scriba
37.358,-2.38,Euothophagus,gibbosus,Scriba
37.607,-0.679,Onthophagus,semipunctatus,Fabricius
37.607,-0.679,Gymnopleurus,sturmi,MacLeay
37.269,-2.494,Euothophagus,gibbosus,Scriba
37.269,-2.494,Onthophagus,lemur,Fabricius
37.269,-2.494,Onthophagus,lemur,Fabricius
37.269,-2.494,Onthophagus,similis,Scriba
37.269,-2.494,Onthophagus,similis,Scriba
37.269,-2.494,Onthophagus,maki,Illiger
37.269,-2.494,Onthophagus,maki,Illiger
37.614,-1.019,Bubas,bison,Linnaeus
37.614,-1.019,Bubas,bison,Linnaeus
37.614,-1.019,Bubas,bubalus,Olivier
37.614,-1.019,Caccobius,schreberi,Linnaeus
37.614,-1.019,Copris,hispanus,Linnaeus
37.614,-1.019,Copris,hispanus,Linnaeus
37.614,-1.019,Cheironitis,hungaricus,Rossi
37.614,-1.019,Euothophagus,amyntas,Olivier
37.614,-1.019,Gymnopleurus,flagellatus,Fabricius
37.614,-1.019,Gymnopleurus,flagellatus,Fabricius
37.614,-1.019,Gymnopleurus,sturmi,MacLeay
37.614,-1.019,Gymnopleurus,sturmi,MacLeay
37.614,-1.019,Gymnopleurus,sturmi,MacLeay
37.614,-1.019,Gymnopleurus,sturmi,MacLeay
37.614,-1.019,Gymnopleurus,sturmi,MacLeay
37.614,-1.019,Gymnopleurus,sturmi,MacLeay
37.614,-1.019,Onitis,ion,Olivier
37.614,-1.019,Onitis,ion,Olivier
37.614,-1.019,Onthophagus,taurus,Schreber
37.614,-1.019,Onthophagus,taurus,Schreber
37.614,-1.019,Onthophagus,taurus,Schreber
